driverId,raceId,totaltime,avglaptime,lapnum,lapnummax,position,q1,q2,q3,prop,constructorId,year,budget,circuitId,Weather,qfastest,totallap,fastestLapSpeed
1,957,5695.831,109.53521153846154,52,52,1,01:30.7,01:29.2,01:29.3,1,131,2016,352,9,1,89.2,59.071,221.44
1,958,6030.115,86.1445,70,70,2,01:34.2,01:24.8,01:20.1,0.952380952,131,2016,352,11,0,80.1,43.214,188.095
1,959,5444.2,81.25671641791045,67,67,2,01:15.2,01:14.7,01:14.5,0.952380952,131,2016,352,10,0,74.5,55.629,209.107
1,960,6318.692,143.60663636363637,44,44,21,01:50.0,NA,NA,0,131,2016,352,13,0,110,1047.253,225.969
1,961,4663.159,87.98413207547169,53,53,1,01:21.9,01:21.5,01:21.1,1,131,2016,352,14,0,81.1,23.633,241.646
1,962,6956.988,114.04898360655737,61,61,3,01:45.2,01:43.5,01:43.3,0.904761905,131,2016,352,15,0,103.3,110.339,169.221
1,964,5209.109,98.28507547169811,53,53,2,01:32.2,01:31.1,01:30.7,0.952380952,131,2016,352,22,0,90.7,45.721,219.703
1,965,5892.618,105.22532142857143,56,56,1,01:36.3,01:36.5,01:35.0,1,131,2016,352,69,0,95,47.176,193.842
1,966,6031.402,84.94932394366197,71,71,1,01:19.4,01:19.1,01:18.7,1,131,2016,352,32,0,78.7,21.709,187.592
1,967,10861.335000000001,152.97654929577465,71,71,1,01:11.5,01:11.2,01:10.7,1,131,2016,352,18,1,70.7,3492.409,181.137
1,968,5884.013,106.98205454545455,55,55,1,01:39.5,01:39.4,01:38.8,1,131,2016,352,24,0,98.8,43.955,190.174
1,969,5061.647,88.80082456140352,57,57,1,01:24.2,01:23.3,01:22.2,1,131,2017,352.1,1,1,82.2,21.709,219.351
1,970,5856.158,104.57425,56,56,1,01:33.3,01:32.4,01:31.7,1,131,2017,352.1,17,0,91.7,81.02,205.745
1,971,5640.034,98.9479649122807,57,57,2,01:30.8,01:29.5,01:28.8,0.947368421,131,2017,352.1,3,0,88.8,61.369,209.952
1,972,5325.063,102.4050576923077,52,52,4,01:34.4,01:33.8,01:33.8,0.842105263,131,2017,352.1,71,0,93.8,29.739,213.955
1,973,5756.497,87.21965151515151,66,66,1,01:20.5,01:20.2,01:19.1,1,131,2017,352.1,4,0,79.1,43.266,200.471
1,974,6300.141,80.77103846153847,78,78,14,01:13.6,01:14.1,NA,0.315789474,131,2017,352.1,6,0,73.6,24.155,158.433
